timestamp,price (USD),price (USD),volume,market cap (USD)
2018-04-26 04:55:00,629.09119776,629.09119776,1183412.65790903,744474486.40900004
2018-04-26 04:50:00,626.45609359,626.45609359,1192801.60738364,747237835.39117002
2018-04-26 04:45:00,625.29689825,625.29689825,1217893.04453135,761544743.14033997
2018-04-26 04:40:00,625.10090358,625.10090358,1224850.17188957,765654949.20246005
2018-04-26 04:35:00,622.67661632,622.67661632,1235629.02843913,769397302.45278001
2018-04-26 04:30:00,621.75394384,621.75394384,1262620.13202784,785039046.65786004
2018-04-26 04:25:00,621.95208312,621.95208312,1264301.33946969,786334851.76901996
2018-04-26 04:20:00,622.97765412,622.97765412,1264707.31034872,787884393.35083997
2018-04-26 04:15:00,621.67399812,621.67399812,1277687.96067694,794305382.85820997
2018-04-26 04:10:00,621.16945904,621.16945904,1282538.14884656,796673528.11440003
2018-04-26 04:05:00,620.08799340,620.08799340,1285059.91969738,796850227.00369000
2018-04-26 04:00:00,617.84759562,617.84759562,1308916.88638658,808711151.12030995
2018-04-26 03:55:00,617.08283022,617.08283022,1319897.82116689,814486283.08678997
2018-04-26 03:50:00,617.98554507,617.98554507,1323851.01384882,818120790.38953996
2018-04-26 03:45:00,618.42449122,618.42449122,1343160.24667398,830643192.17929006
2018-04-26 03:40:00,616.71184933,616.71184933,1343174.52714513,828351646.60301995
2018-04-26 03:35:00,618.33758193,618.33758193,1342089.67325655,829864483.29220998
2018-04-26 03:30:00,621.36871038,621.36871038,1347999.70785878,837604840.05947995
2018-04-26 03:25:00,623.58986712,623.58986712,1348056.73968075,840634523.16532004
2018-04-26 03:20:00,623.64105655,623.64105655,1349448.41716908,841571436.64533997
2018-04-26 03:15:00,622.89794932,622.89794932,1356172.17071248,844756864.05859995
2018-04-26 03:10:00,621.73880518,621.73880518,1357036.09764419,843722001.92946005
2018-04-26 03:05:00,621.00773533,621.00773533,1357336.18240102,842916268.71934998
2018-04-26 03:00:00,622.04067998,622.04067998,1361687.51584424,847025028.27539003
2018-04-26 02:55:00,622.19541711,622.19541711,1361461.16658568,847094898.41636002
2018-04-26 02:50:00,624.19367509,624.19367509,1359037.83378212,848302820.04854000
2018-04-26 02:45:00,623.49251412,623.49251412,1369002.41204041,853562755.72487998
2018-04-26 02:40:00,621.58315126,621.58315126,1368489.00645463,850629709.09108996
2018-04-26 02:35:00,619.44164844,619.44164844,1368551.38435491,847737725.50268996
2018-04-26 02:30:00,619.88380858,619.88380858,1371497.51966064,850169105.94702995
2018-04-26 02:25:00,617.47226446,617.47226446,1371289.75692996,846733391.43640995
2018-04-26 02:20:00,618.79471688,618.79471688,1369512.49697205,847447097.82093000
2018-04-26 02:15:00,618.01065321,618.01065321,1370522.36524755,846997422.18515003
2018-04-26 02:10:00,617.03762957,617.03762957,1371183.30099069,846071693.74338996
2018-04-26 02:05:00,615.20320588,615.20320588,1370340.68999012,843037985.63109004
2018-04-26 02:00:00,612.92429467,612.92429467,1373185.74508909,841658904.25506997
2018-04-26 01:55:00,614.67573353,614.67573353,1372405.68465519,843584470.91281998
2018-04-26 01:50:00,615.63777888,615.63777888,1372470.02308162,844944396.58908999
2018-04-26 01:45:00,618.02166272,618.02166272,1374012.36727268,849169407.82616997
2018-04-26 01:40:00,617.08741506,617.08741506,1373772.93417697,847737988.83269000
2018-04-26 01:35:00,616.69256047,616.69256047,1373591.04198070,847083376.71447003
2018-04-26 01:30:00,618.60475472,618.60475472,1380972.17998672,854275956.67437005
2018-04-26 01:25:00,616.65165647,616.65165647,1377563.94290061,849477087.27923000
2018-04-26 01:20:00,614.52864562,614.52864562,1377053.75768248,846238980.65945995
2018-04-26 01:15:00,613.68196417,613.68196417,1380031.91612655,846900696.90258002
2018-04-26 01:10:00,610.15851080,610.15851080,1377980.98203924,840786823.91761994
2018-04-26 01:05:00,610.35420384,610.35420384,1376385.81235618,840082866.67149997
2018-04-26 01:00:00,614.23291230,614.23291230,1382926.71372006,849439102.86336005
2018-04-26 00:55:00,610.57513880,610.57513880,1381802.27596914,843694116.43970001
2018-04-26 00:50:00,610.61124296,610.61124296,1381165.60352639,843355245.89704001
2018-04-26 00:45:00,607.44290499,607.44290499,1394118.57709383,846847438.36638999
2018-04-26 00:40:00,608.37200182,608.37200182,1391383.99188379,846479064.43842995
2018-04-26 00:35:00,602.79361899,602.79361899,1389545.01408358,837608867.79276001
2018-04-26 00:30:00,604.68671657,604.68671657,1406571.60520037,850535165.57088995
2018-04-26 00:25:00,606.03992807,606.03992807,1401278.67517677,849230827.50495005
2018-04-26 00:20:00,609.34187521,609.34187521,1401807.17836273,854179814.74700999
2018-04-26 00:15:00,613.82560231,613.82560231,1413580.17516533,867691702.43362999
2018-04-26 00:10:00,609.95538049,609.95538049,1413220.27023627,862001307.64666998
2018-04-26 00:05:00,610.52989164,610.52989164,1407661.70403443,859419547.62734997
2018-04-26 00:00:00,617.82606671,617.82606671,1409808.89194278,871016682.52136004
2018-04-25 23:55:00,615.20136354,615.20136354,1408057.56610159,866238934.61543000
2018-04-25 23:50:00,615.19860748,615.19860748,1406433.38208145,865235858.16948998
2018-04-25 23:45:00,611.14243681,611.14243681,1407559.19901607,860219158.84800994
2018-04-25 23:40:00,613.26083762,613.26083762,1404393.82974555,861259736.37685001
2018-04-25 23:35:00,615.22812381,615.22812381,1402963.09957625,863142355.52320004
2018-04-25 23:30:00,613.80274940,613.80274940,1400813.95550324,859823457.29153001
2018-04-25 23:25:00,618.32921768,618.32921768,1397835.86030046,864322753.93946004
2018-04-25 23:20:00,618.70868163,618.70868163,1393042.58796506,861887543.06032002
2018-04-25 23:15:00,617.71255621,617.71255621,1393479.02192460,860769488.66496003
2018-04-25 23:10:00,618.41705467,618.41705467,1386865.89422942,857661521.53097999
2018-04-25 23:05:00,626.86923611,626.86923611,1379746.08162936,864920372.21115005
2018-04-25 23:00:00,623.27723044,623.27723044,1379753.85527481,859969161.60014999
2018-04-25 22:55:00,629.34633005,629.34633005,1370765.34354473,862686138.32036996
2018-04-25 22:50:00,631.18539214,631.18539214,1367898.30111506,863397425.59178996
2018-04-25 22:45:00,636.02359388,636.02359388,1374505.40316914,874217866.33392000
2018-04-25 22:40:00,639.06028033,639.06028033,1374657.06946822,878488732.16965997
2018-04-25 22:35:00,639.27189589,639.27189589,1374265.76691562,878529482.26645005
