timestamp,price (USD),price (USD),volume,market cap (USD)
2018-04-26 10:55:00,1.00012959,1.00012959,101871767.23697911,101884968.62188999
2018-04-26 10:50:00,1.00010803,1.00010803,101874477.10817644,101885482.58733000
2018-04-26 10:45:00,1.00016903,1.00016903,101873302.93107973,101890522.44005001
2018-04-26 10:40:00,1.00012860,1.00012860,101617677.48067264,101630745.43726000
2018-04-26 10:35:00,1.00001943,1.00001943,100772348.43407340,100774306.01842000
2018-04-26 10:30:00,1.00001918,1.00001918,100831802.56449889,100833736.29623000
2018-04-26 10:25:00,1.00002434,1.00002434,100817514.57514833,100819968.69383000
2018-04-26 10:20:00,1.00005317,1.00005317,100799575.80150291,100804935.06409000
2018-04-26 10:15:00,1.00010294,1.00010294,100545849.74033722,100556200.35664000
2018-04-26 10:10:00,1.00002196,1.00002196,100496198.88860512,100498406.08487999
2018-04-26 10:05:00,1.00001891,1.00001891,100496050.79425283,100497951.10232000
2018-04-26 10:00:00,1.00001563,1.00001563,100771365.14427800,100772939.95556000
2018-04-26 09:55:00,1.00001590,1.00001590,100782933.83152066,100784536.48409000
2018-04-26 09:50:00,1.00001443,1.00001443,100379651.24859145,100381099.27613001
2018-04-26 09:45:00,1.00001738,1.00001738,98903060.84759167,98904779.91411300
2018-04-26 09:40:00,1.00001735,1.00001735,98903526.49658000,98905242.14066800
2018-04-26 09:35:00,1.00001858,1.00001858,98876358.94339345,98878195.82985599
2018-04-26 09:30:00,1.00003496,1.00003496,93061799.95224990,93065053.02972800
2018-04-26 09:25:00,1.00003374,1.00003374,93063561.40835984,93066701.33657500
2018-04-26 09:20:00,1.00003696,1.00003696,92968706.39320435,92972142.53752001
2018-04-26 09:15:00,1.00002092,1.00002092,90441549.72223419,90443441.60384400
2018-04-26 09:10:00,1.00002105,1.00002105,90355931.35724753,90357833.62322500
2018-04-26 09:05:00,1.00001813,1.00001813,90247489.38421106,90249125.26575600
2018-04-26 09:00:00,1.00002066,1.00002066,90187869.54322402,90189732.84246400
2018-04-26 08:55:00,1.00002080,1.00002080,90215080.87873977,90216957.33102199
2018-04-26 08:50:00,1.00002076,1.00002076,90050943.32845588,90052812.67013299
2018-04-26 08:45:00,1.00001930,1.00001930,90032463.64364840,90034201.50583801
2018-04-26 08:40:00,1.00002684,1.00002684,89974904.46150661,89977319.26983500
2018-04-26 08:35:00,1.00001093,1.00001093,89576923.72345461,89577903.02755199
2018-04-26 08:30:00,1.00001236,1.00001236,89255500.15744062,89256602.96262500
2018-04-26 08:25:00,1.00001976,1.00001976,89095476.33259857,89097236.80791800
2018-04-26 08:20:00,1.00002127,1.00002127,87639314.26400726,87641178.49229300
2018-04-26 08:15:00,1.00002152,1.00002152,87637554.60754843,87639440.86855599
2018-04-26 08:10:00,1.00002231,1.00002231,84472394.98522203,84474279.17485100
2018-04-26 08:05:00,1.00002228,1.00002228,84472072.30782746,84473954.59173600
2018-04-26 08:00:00,1.00002205,1.00002205,84508078.72465457,84509942.00412700
2018-04-26 07:55:00,1.00002301,1.00002301,82435872.70374440,82437769.70606600
2018-04-26 07:50:00,1.00002428,1.00002428,82388292.75494343,82390293.28916299
2018-04-26 07:45:00,1.00002325,1.00002325,79376598.51546225,79378443.79893900
2018-04-26 07:40:00,1.00002535,1.00002535,78268136.36731565,78270120.62751199
2018-04-26 07:35:00,1.00007061,1.00007061,78653539.40010335,78659093.07623400
2018-04-26 07:30:00,1.00002660,1.00002660,80298946.06577471,80301081.62334800
2018-04-26 07:25:00,1.00002670,1.00002670,79983377.20662108,79985512.86031801
2018-04-26 07:20:00,1.00002434,1.00002434,80546859.49247514,80548819.84521800
2018-04-26 07:15:00,1.00002743,1.00002743,80301590.84317949,80303793.13823500
2018-04-26 07:10:00,1.00002608,1.00002608,81193742.17052007,81195859.71108000
2018-04-26 07:05:00,1.00004332,1.00004332,83977064.41620369,83980702.38250400
2018-04-26 07:00:00,1.00004410,1.00004410,83976638.16465661,83980341.36693799
2018-04-26 06:55:00,1.00003992,1.00003992,83427450.30475830,83430780.91709600
2018-04-26 06:50:00,1.00000637,1.00000637,83404399.05611755,83404929.94501300
2018-04-26 06:45:00,1.00000634,1.00000634,82857924.94517380,82858450.57403900
2018-04-26 06:40:00,1.00005818,1.00005818,82537928.13384201,82542729.79346500
2018-04-26 06:35:00,1.00010411,1.00010411,82213957.10761175,82222516.26457401
2018-04-26 06:30:00,1.00000552,1.00000552,82352859.31986293,82353314.00494900
2018-04-26 06:25:00,1.00000831,1.00000831,82352753.47489358,82353437.61632100
2018-04-26 06:20:00,1.00001052,1.00001052,82740181.31666690,82741051.95607300
2018-04-26 06:15:00,1.00000583,1.00000583,98961107.34619473,98961684.11195500
2018-04-26 06:10:00,1.00000674,1.00000674,110864096.43160582,110864843.68581000
2018-04-26 06:05:00,1.00000800,1.00000800,111408332.94978920,111409224.70807999
2018-04-26 06:00:00,1.00000809,1.00000809,115085572.14668846,115086503.04043999
2018-04-26 05:55:00,1.00000966,1.00000966,114450821.53109629,114451927.15291999
2018-04-26 05:50:00,1.00000484,1.00000484,114492364.69040355,114492918.42081000
2018-04-26 05:45:00,1.00001054,1.00001054,114276223.09127770,114277427.93057001
2018-04-26 05:40:00,1.00000403,1.00000403,114224260.56971651,114224720.57314999
2018-04-26 05:35:00,1.00000631,1.00000631,113514261.52323462,113514977.64270000
2018-04-26 05:30:00,1.00000436,1.00000436,113511897.57724948,113512393.00064000
2018-04-26 05:25:00,1.00000441,1.00000441,111697930.28728063,111698422.99800000
2018-04-26 05:20:00,1.00000354,1.00000354,111671235.64512737,111671631.00364000
2018-04-26 05:15:00,1.00000648,1.00000648,111697002.65042166,111697726.42564000
2018-04-26 05:10:00,1.00001074,1.00001074,111650173.46410120,111651372.68911999
2018-04-26 05:05:00,1.00001665,1.00001665,111633811.66007191,111635670.21151000
2018-04-26 05:00:00,1.00001376,1.00001376,111658599.97157882,111660136.05136999
2018-04-26 04:55:00,1.00001084,1.00001084,111711654.45883898,111712865.38268000
2018-04-26 04:50:00,1.00004524,1.00004524,111813692.11592293,111818750.28780000
2018-04-26 04:45:00,1.00000720,1.00000720,111596351.27447908,111597155.02051000
2018-04-26 04:40:00,1.00001149,1.00001149,111395944.39995018,111397223.99401000
2018-04-26 04:35:00,1.00001464,1.00001464,111401877.35967903,111403508.30254000
2018-04-26 04:30:00,1.00002376,1.00002376,111618464.10885791,111621116.14478000
2018-04-26 04:25:00,1.00001186,1.00001186,111409676.90906179,111410998.68503000
2018-04-26 04:20:00,1.00004909,1.00004909,111408718.59854589,111414187.61705001
2018-04-26 04:15:00,1.00004246,1.00004246,111393304.22226033,111398033.71912999
2018-04-26 04:10:00,1.00001120,1.00001120,111167642.51756889,111168887.08340000
2018-04-26 04:05:00,1.00000771,1.00000771,112172378.93737158,112173243.54967999
2018-04-26 04:00:00,1.00000648,1.00000648,112406912.37720674,112407640.80581000
2018-04-26 03:55:00,1.00001273,1.00001273,114392570.72627774,114394027.39307000
2018-04-26 03:50:00,1.00001214,1.00001214,114691319.58630927,114692712.26955000
2018-04-26 03:45:00,1.00001222,1.00001222,114722637.94360915,114724039.82584000
2018-04-26 03:40:00,1.00001392,1.00001392,114722584.98111841,114724182.35122000
2018-04-26 03:35:00,1.00001053,1.00001053,114807793.01200251,114809001.59869000
2018-04-26 03:30:00,1.00001052,1.00001052,114844156.08668239,114845364.77981000
2018-04-26 03:25:00,1.00001052,1.00001052,114863552.36626372,114864760.61567999
2018-04-26 03:20:00,1.00001052,1.00001052,114849815.52849451,114851023.38997000
2018-04-26 03:15:00,1.00000978,1.00000978,114867722.60694388,114868846.56197999
2018-04-26 03:10:00,1.00000929,1.00000929,114867391.09017426,114868458.68003000
2018-04-26 03:05:00,1.00000616,1.00000616,114873468.43059091,114874175.83803000
2018-04-26 03:00:00,1.00001038,1.00001038,118003043.64627714,118004268.37592000
2018-04-26 02:55:00,1.00000680,1.00000680,125841485.47304368,125842340.90422000
2018-04-26 02:50:00,1.00002139,1.00002139,125838516.45318200,125841207.62517001
2018-04-26 02:45:00,1.00000618,1.00000618,126838278.43754064,126839062.20907000
2018-04-26 02:40:00,1.00000573,1.00000573,127017341.20703517,127018069.50212000
2018-04-26 02:35:00,1.00000616,1.00000616,127015526.70071384,127016309.07571000
2018-04-26 02:30:00,1.00000600,1.00000600,128165478.61621748,128166247.63459000
2018-04-26 02:25:00,1.00000598,1.00000598,128207271.21160457,128208037.31353000
2018-04-26 02:20:00,1.00000381,1.00000381,128002324.81792726,128002812.14631000
2018-04-26 02:15:00,1.00000379,1.00000379,128104523.70635091,128105009.26452000
2018-04-26 02:10:00,1.00000766,1.00000766,128178576.78779522,128179558.48904000
2018-04-26 02:05:00,1.00000482,1.00000482,128176919.58644181,128177537.51450001
2018-04-26 02:00:00,1.00000459,1.00000459,128172726.80261894,128173315.14745000
2018-04-26 01:55:00,1.00001570,1.00001570,128120021.35852516,128122032.40965000
2018-04-26 01:50:00,1.00002031,1.00002031,128072765.01840609,128075365.70051000
2018-04-26 01:45:00,1.00002219,1.00002219,127970110.96815792,127972950.16890000
2018-04-26 01:40:00,1.00001651,1.00001651,127970172.98896769,127972286.07379000
2018-04-26 01:35:00,1.00002026,1.00002026,127963138.63420849,127965731.26906000
2018-04-26 01:30:00,1.00001864,1.00001864,127961676.64180584,127964062.23608001
2018-04-26 01:25:00,1.00001862,1.00001862,127957337.38447577,127959720.32707000
2018-04-26 01:20:00,1.00002024,1.00002024,127957221.11572330,127959811.43722001
2018-04-26 01:15:00,1.00001622,1.00001622,137955467.69296968,137957704.64750999
2018-04-26 01:10:00,1.00004194,1.00004194,138002965.79397336,138008754.30702999
2018-04-26 01:05:00,1.00002887,1.00002887,137865010.84789574,137868990.92594999
2018-04-26 01:00:00,1.00002359,1.00002359,137762540.20421696,137765790.01504001
2018-04-26 00:55:00,1.00001940,1.00001940,137630563.30888623,137633232.65794000
2018-04-26 00:50:00,1.00001422,1.00001422,137229966.12679708,137231917.80085000
2018-04-26 00:45:00,1.00001973,1.00001973,137242014.19310236,137244721.86631000
2018-04-26 00:40:00,1.00003381,1.00003381,137191102.56111023,137195740.89750999
2018-04-26 00:35:00,1.00001181,1.00001181,137156836.53820887,137158456.64897999
2018-04-26 00:30:00,1.00001339,1.00001339,137164990.55289635,137166827.60872000
2018-04-26 00:25:00,1.00002032,1.00002032,137118160.93787512,137120947.21452001
2018-04-26 00:20:00,1.00001876,1.00001876,137072661.09940112,137075232.82302001
2018-04-26 00:15:00,1.00001422,1.00001422,137083432.21754351,137085381.66494000
2018-04-26 00:10:00,1.00001328,1.00001328,137054859.79710084,137056680.41521999
2018-04-26 00:05:00,1.00002021,1.00002021,138806132.24447712,138808937.19927001
2018-04-26 00:00:00,1.00001482,1.00001482,138806154.97993356,138808212.72553000
2018-04-25 23:55:00,1.00002087,1.00002087,138912504.64340487,138915403.83941001
2018-04-25 23:50:00,1.00001590,1.00001590,138998647.78289920,139000858.49616000
2018-04-25 23:45:00,1.00001326,1.00001326,139022851.03244677,139024694.28784001
2018-04-25 23:40:00,1.00002496,1.00002496,139018781.10621139,139022250.99529001
2018-04-25 23:35:00,1.00002992,1.00002992,138979057.64852327,138983215.84560001
2018-04-25 23:30:00,1.00001562,1.00001562,138888700.81996360,138890869.80849999
2018-04-25 23:25:00,1.00001494,1.00001494,140603085.62520057,140605185.67013001
2018-04-25 23:20:00,1.00001386,1.00001386,140603179.48014444,140605128.35754001
2018-04-25 23:15:00,1.00001386,1.00001386,140603298.86324215,140605247.67324001
2018-04-25 23:10:00,1.00000922,1.00000922,141601076.91643786,141602382.36778000
2018-04-25 23:05:00,1.00001038,1.00001038,141681720.73018372,141683190.86147001
2018-04-25 23:00:00,1.00001583,1.00001583,143181917.03681895,143184183.57442999
2018-04-25 22:55:00,1.00000753,1.00000753,143506520.59918115,143507601.54190999
2018-04-25 22:50:00,1.00001166,1.00001166,143383349.70480767,143385021.31718001
2018-04-25 22:45:00,1.00001610,1.00001610,143462850.10452649,143465159.54671001
2018-04-25 22:40:00,1.00001625,1.00001625,142878603.11028585,142880924.18818000
2018-04-25 22:35:00,1.00001624,1.00001624,142878628.21068588,142880949.11638999
2018-04-25 22:30:00,1.00001725,1.00001725,142881268.55836529,142883732.85093999
2018-04-25 22:25:00,1.00001726,1.00001726,142792252.50114298,142794716.85371000
2018-04-25 22:20:00,1.00003537,1.00003537,142858618.51867491,142863671.84292001
2018-04-25 22:15:00,1.00001278,1.00001278,142858648.61331007,142860473.72108001
2018-04-25 22:10:00,1.00001716,1.00001716,142850373.08980072,142852824.81450999
2018-04-25 22:05:00,1.00001761,1.00001761,142850927.23492056,142853442.49631000
2018-04-25 22:00:00,1.00001762,1.00001762,142849589.78729349,142852106.75635999
2018-04-25 21:55:00,1.00001764,1.00001764,142809066.07779855,142811584.78422001
2018-04-25 21:50:00,1.00002196,1.00002196,142809056.82267782,142812192.20975000
2018-04-25 21:45:00,1.00001964,1.00001964,142809042.84911180,142811847.11263999
2018-04-25 21:40:00,1.00001964,1.00001964,142809087.84858695,142811892.14811000
2018-04-25 21:35:00,1.00002045,1.00002045,142809386.91016370,142812307.70754999
2018-04-25 21:30:00,1.00001824,1.00001824,142906638.32576141,142909244.37199000
2018-04-25 21:25:00,1.00001417,1.00001417,142939186.25782287,142941211.65195000
2018-04-25 21:20:00,1.00001814,1.00001814,142970692.25782287,142973285.24008000
2018-04-25 21:15:00,1.00001310,1.00001310,142982803.04575667,142984675.68899000
2018-04-25 21:10:00,1.00001253,1.00001253,139857883.57002857,139859635.84799001
2018-04-25 21:05:00,1.00001277,1.00001277,140192489.16571581,140194279.16233000
2018-04-25 21:00:00,1.00001044,1.00001044,140449769.87275442,140451236.40831000
2018-04-25 20:55:00,1.00000860,1.00000860,139710213.71303859,139711415.14425001
2018-04-25 20:50:00,1.00000873,1.00000873,135503276.96780497,135504459.38161999
2018-04-25 20:45:00,1.00000950,1.00000950,135587927.69078270,135589216.28242001
2018-04-25 20:40:00,1.00000740,1.00000740,135200763.99092668,135201764.75013000
2018-04-25 20:35:00,1.00000945,1.00000945,135200082.80111253,135201360.47352999
2018-04-25 20:30:00,1.00001346,1.00001346,135199105.13293913,135200924.73585001
2018-04-25 20:25:00,1.00001357,1.00001357,135109261.70314428,135111094.92149001
2018-04-25 20:20:00,1.00001558,1.00001558,135304532.95968875,135306640.94633999
2018-04-25 20:15:00,1.00001811,1.00001811,135716976.62915960,135719434.50347999
2018-04-25 20:10:00,1.00001050,1.00001050,135676164.65135565,135677589.61916000
2018-04-25 20:05:00,1.00001236,1.00001236,135882068.45922762,135883747.81751001
2018-04-25 20:00:00,1.00001331,1.00001331,135906138.38047779,135907947.86700001
2018-04-25 19:55:00,1.00001100,1.00001100,135945278.67363584,135946774.36607000
2018-04-25 19:50:00,1.00001314,1.00001314,135882098.62761942,135883884.54333001
2018-04-25 19:45:00,1.00001002,1.00001002,139221391.00157332,139222785.72623000
2018-04-25 19:40:00,1.00001001,1.00001001,139224393.60598445,139225787.44040999
2018-04-25 19:35:00,1.00000655,1.00000655,139226563.11606649,139227475.50389999
2018-04-25 19:30:00,1.00001341,1.00001341,139907538.72505173,139909415.38925001
2018-04-25 19:25:00,1.00001042,1.00001042,139910791.91810808,139912249.35414001
2018-04-25 19:20:00,1.00000982,1.00000982,139815804.85159686,139817178.40321001
2018-04-25 19:15:00,1.00001208,1.00001208,139832357.90954217,139834046.92585000
2018-04-25 19:10:00,1.00001257,1.00001257,139949355.71153560,139951114.65244001
2018-04-25 19:05:00,1.00001523,1.00001523,139982684.03035235,139984815.29853001
2018-04-25 19:00:00,1.00001437,1.00001437,140136052.79087842,140138067.22635001
2018-04-25 18:55:00,1.00004639,1.00004639,138623530.94272417,138629961.04091001
2018-04-25 18:50:00,1.00003085,1.00003085,138589397.44803345,138593672.44731000
2018-04-25 18:45:00,1.00002778,1.00002778,138956014.04471299,138959874.05235001
2018-04-25 18:40:00,1.00004475,1.00004475,138958940.14599696,138965159.15454000
2018-04-25 18:35:00,1.00004646,1.00004646,138954948.49315074,138961404.79543999
2018-04-25 18:30:00,1.00004715,1.00004715,138952089.74331763,138958640.89941001
2018-04-25 18:25:00,1.00004496,1.00004496,138763710.01938236,138769948.89710000
2018-04-25 18:20:00,1.00002791,1.00002791,138779074.10195410,138782947.44999999
2018-04-25 18:15:00,1.00003437,1.00003437,138867136.49966639,138871909.82062000
2018-04-25 18:10:00,1.00004167,1.00004167,136375138.10874251,136380821.51337001
2018-04-25 18:05:00,1.00009619,1.00009619,136302710.17612499,136315821.77555001
2018-04-25 18:00:00,1.00004630,1.00004630,136202591.23546547,136208897.99184000
2018-04-25 17:55:00,1.00004430,1.00004430,136051197.61351356,136057225.01554999
2018-04-25 17:50:00,1.00001171,1.00001171,133729358.33369260,133730924.17956001
2018-04-25 17:45:00,1.00001076,1.00001076,133895324.07851842,133896765.39653000
2018-04-25 17:40:00,1.00001080,1.00001080,133905342.02487634,133906788.20035000
2018-04-25 17:35:00,1.00000695,1.00000695,133780464.21663003,133781394.08285999
2018-04-25 17:30:00,1.00001260,1.00001260,134286249.88517132,134287941.61074999
2018-04-25 17:25:00,1.00001014,1.00001014,134278743.36104664,134280105.07019001
2018-04-25 17:20:00,1.00007616,1.00007616,135897074.45666078,135907424.60220999
2018-04-25 17:15:00,1.00001521,1.00001521,135826537.50945038,135828604.10168999
2018-04-25 17:10:00,1.00001560,1.00001560,135640747.91707250,135642864.02910000
2018-04-25 17:05:00,1.00001505,1.00001505,133619534.54089101,133621545.72776000
2018-04-25 17:00:00,1.00001089,1.00001089,133626563.98411284,133628018.80727001
2018-04-25 16:55:00,1.00001128,1.00001128,133188299.40949777,133189801.24489000
2018-04-25 16:50:00,1.00001430,1.00001430,132048607.30296627,132050495.00613999
2018-04-25 16:45:00,1.00000509,1.00000509,135201522.33526441,135202210.41174001
2018-04-25 16:40:00,1.00001738,1.00001738,135157363.64982066,135159712.45903000
2018-04-25 16:35:00,1.00001219,1.00001219,134140936.33809303,134142571.52068000
2018-04-25 16:30:00,1.00000434,1.00000434,134141617.51132193,134142199.24218000
2018-04-25 16:25:00,1.00001410,1.00001410,133849137.06383705,133851024.70025000
2018-04-25 16:20:00,1.00001782,1.00001782,133843149.59542742,133845534.16384000
2018-04-25 16:15:00,1.00002950,1.00002950,133767683.17286174,133771628.83475000
2018-04-25 16:10:00,1.00001533,1.00001533,133763134.13763043,133765184.35442001
2018-04-25 16:05:00,1.00002223,1.00002223,133708145.70410720,133711118.20850000
2018-04-25 16:00:00,1.00002482,1.00002482,133848294.40368755,133851616.74538000
2018-04-25 15:55:00,1.00002147,1.00002147,134046205.72449522,134049084.19882999
2018-04-25 15:50:00,1.00002357,1.00002357,134035879.17552654,134039038.86995000
2018-04-25 15:45:00,1.00002338,1.00002338,134001092.74331178,134004225.87531000
2018-04-25 15:40:00,1.00002908,1.00002908,134052197.96839699,134056095.77053000
2018-04-25 15:35:00,1.00001482,1.00001482,133465219.04623485,133467196.86034000
2018-04-25 15:30:00,1.00003944,1.00003944,128289634.70214161,128294694.23019999
2018-04-25 15:25:00,1.00001434,1.00001434,127889063.75140066,127890897.23213001
2018-04-25 15:20:00,1.00003519,1.00003519,125634934.08597229,125639355.45343000
2018-04-25 15:15:00,1.00003725,1.00003725,120066488.84876093,120070961.47453000
2018-04-25 15:10:00,1.00000406,1.00000406,119167983.41877159,119168466.66154000
2018-04-25 15:05:00,1.00000152,1.00000152,118208161.21429503,118208340.42145000
2018-04-25 15:00:00,0.99999716,0.99999716,116252152.06699324,116251821.50240999
2018-04-25 14:55:00,0.99999244,0.99999244,113896800.82151392,113895939.69575000
2018-04-25 14:50:00,0.99999732,0.99999732,110677293.09504348,110676996.01394001
2018-04-25 14:45:00,1.00000304,1.00000304,108935316.29636700,108935647.27925000
2018-04-25 14:40:00,0.99999889,0.99999889,103427392.03855969,103427277.72723000
2018-04-25 14:35:00,1.00000820,1.00000820,98727026.47205332,98727836.17468999
2018-04-25 14:30:00,1.00000442,1.00000442,97973789.58056906,97974222.44619700
2018-04-25 14:25:00,1.00001579,1.00001579,102575558.37177747,102577178.27922000
2018-04-25 14:20:00,1.00001762,1.00001762,102194797.42508067,102196597.74212000
2018-04-25 14:15:00,1.00001577,1.00001577,101906652.88168344,101908259.46709000
2018-04-25 14:10:00,1.00001585,1.00001585,102101192.22329156,102102810.51357000
2018-04-25 14:05:00,1.00001496,1.00001496,102668829.58292717,102670365.94163001
2018-04-25 14:00:00,1.00001550,1.00001550,102690118.98738874,102691711.04857001
2018-04-25 13:55:00,1.00001636,1.00001636,102744730.23908854,102746410.99856000
2018-04-25 13:50:00,1.00001596,1.00001596,102781159.29298572,102782799.23963000
2018-04-25 13:45:00,1.00001949,1.00001949,102948097.46949142,102950104.12954000
