timestamp,price (USD),price (USD),volume,market cap (USD)
2018-04-26 01:05:00,8768.88889090,8768.88889090,187595.90008571,1645007604.24090004
2018-04-26 01:00:00,8823.31055158,8823.31055158,188019.32799805,1658952920.62660003
2018-04-26 00:55:00,8787.58140054,8787.58140054,187801.09220549,1650317384.86610007
2018-04-26 00:50:00,8782.00354392,8782.00354392,187721.32612946,1648569351.33809996
2018-04-26 00:45:00,8772.98732029,8772.98732029,188693.31522383,1655404061.88240004
2018-04-26 00:40:00,8784.86717007,8784.86717007,188554.86203512,1656429417.25009990
2018-04-26 00:35:00,8704.75592621,8704.75592621,186683.72421441,1625036254.68199992
2018-04-26 00:30:00,8709.49565023,8709.49565023,188215.53791923,1639262408.81399989
2018-04-26 00:25:00,8772.95153233,8772.95153233,185380.98222509,1626338372.07640004
2018-04-26 00:20:00,8805.74930289,8805.74930289,185210.74651884,1630919402.04660010
2018-04-26 00:15:00,8831.70142674,8831.70142674,185700.91442479,1640055030.87159991
2018-04-26 00:10:00,8796.87033288,8796.87033288,185793.44253519,1634400822.68190002
2018-04-26 00:05:00,8810.65009155,8810.65009155,185129.84822128,1631114314.17960000
2018-04-26 00:00:00,8873.86705484,8873.86705484,186340.08797715,1653557167.69720006
2018-04-25 23:55:00,8861.46567894,8861.46567894,186536.14136427,1652983614.58119988
2018-04-25 23:50:00,8844.72820165,8844.72820165,186948.24141520,1653506383.09439993
2018-04-25 23:45:00,8821.48995646,8821.48995646,187902.98801406,1657584321.55570006
2018-04-25 23:40:00,8862.20704963,8862.20704963,187476.10879763,1661452093.02410007
2018-04-25 23:35:00,8881.21813362,8881.21813362,187379.44070756,1664157686.67890000
2018-04-25 23:30:00,8849.38625645,8849.38625645,187442.67980143,1658752674.50710011
2018-04-25 23:25:00,8910.13090744,8910.13090744,187234.00524355,1668279497.04360008
2018-04-25 23:20:00,8916.36753502,8916.36753502,186720.99644043,1664873030.76710010
2018-04-25 23:15:00,8914.16069464,8914.16069464,187169.77897519,1668461486.96580005
2018-04-25 23:10:00,8929.91430341,8929.91430341,186508.12139528,1665501540.94989991
2018-04-25 23:05:00,9003.30883730,9003.30883730,185369.12043912,1668935440.21190000
2018-04-25 23:00:00,8965.44746733,8965.44746733,185823.94729058,1665994837.60640001
2018-04-25 22:55:00,9027.91891089,9027.91891089,184426.16355452,1664984449.61739993
2018-04-25 22:50:00,9029.89250290,9029.89250290,184641.88040173,1667296331.56040001
2018-04-25 22:45:00,9079.14743179,9079.14743179,187174.36743138,1699383677.36199999
2018-04-25 22:40:00,9098.43085568,9098.43085568,187691.00402737,1707693622.37549996
2018-04-25 22:35:00,9110.70661207,9110.70661207,187800.80571715,1710998042.39940000
2018-04-25 22:30:00,9108.12375654,9108.12375654,190310.04482223,1733367440.35339999
2018-04-25 22:25:00,9112.99278562,9112.99278562,189947.59937759,1730991102.77399993
2018-04-25 22:20:00,9097.05572517,9097.05572517,190204.28854758,1730299012.08369994
2018-04-25 22:15:00,9131.10699909,9131.10699909,191364.77576317,1747372243.35050011
2018-04-25 22:10:00,9171.85437626,9171.85437626,190733.07074009,1749375949.56500006
2018-04-25 22:05:00,9174.43089923,9174.43089923,190508.29875843,1747805222.68849993
2018-04-25 22:00:00,9169.99958033,9169.99958033,190598.43671061,1747787584.64860010
2018-04-25 21:55:00,9154.29928464,9154.29928464,190364.79253737,1742656284.14490008
2018-04-25 21:50:00,9136.10895042,9136.10895042,190294.93792968,1738555285.63940001
2018-04-25 21:45:00,9131.79293928,9131.79293928,190429.08103811,1738958937.65639997
2018-04-25 21:40:00,9137.48055979,9137.48055979,190420.85317985,1739966844.11039996
2018-04-25 21:35:00,9135.01622730,9135.01622730,190255.73515053,1737989227.93670011
2018-04-25 21:30:00,9133.44457091,9133.44457091,190331.84936014,1738385396.21059990
2018-04-25 21:25:00,9144.55290445,9144.55290445,190244.89748627,1739704529.86490011
2018-04-25 21:20:00,9129.27622888,9129.27622888,189963.81182482,1734232111.63899994
2018-04-25 21:15:00,9118.96510620,9118.96510620,190286.69086456,1735217694.16799998
2018-04-25 21:10:00,9098.44882464,9098.44882464,190250.67163870,1730985999.75810003
2018-04-25 21:05:00,9087.85629004,9087.85629004,190432.44442312,1730622687.87840009
2018-04-25 21:00:00,9077.37103947,9077.37103947,191093.66304122,1734628082.71690011
2018-04-25 20:55:00,9081.80697199,9081.80697199,191040.12666728,1734989554.29620004
2018-04-25 20:50:00,9088.00923652,9088.00923652,190881.65115252,1734734208.75589991
2018-04-25 20:45:00,9096.75378408,9096.75378408,191076.13092577,1738172517.04609990
2018-04-25 20:40:00,9089.29797943,9089.29797943,191012.54699922,1736169957.48580003
2018-04-25 20:35:00,9068.89790651,9068.89790651,190357.24576689,1726330427.62409997
2018-04-25 20:30:00,9056.35604510,9056.35604510,190423.71611275,1724544972.54740000
2018-04-25 20:25:00,9053.01287261,9053.01287261,190173.50048469,1721643147.91720009
2018-04-25 20:20:00,9056.26025481,9056.26025481,190149.82782028,1722046328.14790010
2018-04-25 20:15:00,9057.83020510,9057.83020510,190456.01576418,1725118252.33200002
2018-04-25 20:10:00,9061.14009130,9061.14009130,190312.18656622,1724445383.55839992
2018-04-25 20:05:00,9037.57642138,9037.57642138,190185.56324946,1718816562.11069989
2018-04-25 20:00:00,8978.50345794,8978.50345794,190121.25409850,1707004337.35109997
2018-04-25 19:55:00,8980.59671746,8980.59671746,189753.19386121,1704096909.91779995
2018-04-25 19:50:00,8988.09309760,8988.09309760,189891.42023040,1706761763.46630001
2018-04-25 19:45:00,8991.56482430,8991.56482430,190285.96367177,1710968577.51009989
2018-04-25 19:40:00,9003.15566268,9003.15566268,190440.94281917,1714569452.74909997
2018-04-25 19:35:00,8959.22019921,8959.22019921,191042.35558182,1711590531.03299999
2018-04-25 19:30:00,8976.87656468,8976.87656468,192204.16488715,1725393063.40879989
2018-04-25 19:25:00,8992.27689756,8992.27689756,192215.35724760,1728453716.33319998
