timestamp,price (USD),price (USD),volume,market cap (USD)
2018-04-26 12:05:00,146.31234885,146.31234885,789110.94927670,115456676.49023999
2018-04-26 12:00:00,146.01757634,146.01757634,797713.57513897,116480202.85702001
2018-04-26 11:55:00,145.90231286,145.90231286,800594.58728077,116808601.94709000
2018-04-26 11:50:00,145.90803610,145.90803610,805264.23836006,117494523.55693001
2018-04-26 11:45:00,145.88618722,145.88618722,813522.96058384,118681762.93732999
2018-04-26 11:40:00,145.71384715,145.71384715,813720.14559450,118570292.91964000
2018-04-26 11:35:00,145.99465822,145.99465822,815817.45617344,119104990.68431000
2018-04-26 11:30:00,145.99985654,145.99985654,820543.60136737,119799248.08852001
2018-04-26 11:25:00,146.18384652,146.18384652,820857.73374849,119996140.96874000
2018-04-26 11:20:00,146.25643684,146.25643684,824575.10899779,120599417.35060000
2018-04-26 11:15:00,145.94462900,145.94462900,832807.47953711,121543778.62616000
2018-04-26 11:10:00,145.47001146,145.47001146,834793.75642652,121437457.31197999
2018-04-26 11:05:00,145.19504920,145.19504920,835950.55598063,121375882.10071000
2018-04-26 11:00:00,145.66466277,145.66466277,845667.11777153,123183815.52674000
2018-04-26 10:55:00,145.85948655,145.85948655,848151.33794611,123710918.67083000
2018-04-26 10:50:00,145.85282272,145.85282272,855282.32111436,124745340.75966001
2018-04-26 10:45:00,145.82129327,145.82129327,874132.07344187,127467069.44014999
2018-04-26 10:40:00,145.51445740,145.51445740,879306.20432239,127951765.21380000
2018-04-26 10:35:00,145.33222405,145.33222405,881385.62388255,128093732.96312000
2018-04-26 10:30:00,145.50252465,145.50252465,893697.87286674,130035296.78021000
2018-04-26 10:25:00,144.47459122,144.47459122,901864.01211357,130296434.48497000
2018-04-26 10:20:00,144.20230232,144.20230232,910016.73800503,131226508.77236000
2018-04-26 10:15:00,144.28776335,144.28776335,925296.03945447,133508895.97370000
2018-04-26 10:10:00,143.93051197,143.93051197,925254.43490896,133172344.51580000
2018-04-26 10:05:00,143.62801378,143.62801378,924373.73549489,132765963.61953001
2018-04-26 10:00:00,143.42344232,143.42344232,925491.73135531,132737209.94508000
2018-04-26 09:55:00,143.01425112,143.01425112,924419.79057603,132205204.06646000
2018-04-26 09:50:00,142.84862737,142.84862737,925532.23478803,132211009.33033000
2018-04-26 09:45:00,142.68502441,142.68502441,925241.54015136,132018111.74233000
2018-04-26 09:40:00,143.23836997,143.23836997,921212.03190501,131952909.84637000
2018-04-26 09:35:00,143.25153989,143.25153989,919387.91200003,131703734.15127000
2018-04-26 09:30:00,143.83333360,143.83333360,923148.07258445,132779464.68956000
2018-04-26 09:25:00,144.19122470,144.19122470,923159.14954656,133111448.36856000
2018-04-26 09:20:00,144.21502762,144.21502762,923848.18033590,133232790.84657000
2018-04-26 09:15:00,144.50123065,144.50123065,923910.60493889,133506219.42286000
2018-04-26 09:10:00,143.85424128,143.85424128,923206.05255672,132807106.23597001
2018-04-26 09:05:00,143.56793830,143.56793830,922318.24233766,132415328.51078001
2018-04-26 09:00:00,143.14066145,143.14066145,923863.81836963,132242478.04998000
2018-04-26 08:55:00,143.29947579,143.29947579,925060.63660886,132560704.29831000
2018-04-26 08:50:00,143.04563772,143.04563772,925344.79255218,132366535.96448000
2018-04-26 08:45:00,143.78233921,143.78233921,923871.78296438,132836446.08600000
2018-04-26 08:40:00,142.96905134,142.96905134,917310.20345115,131146969.57023001
2018-04-26 08:35:00,144.08230336,144.08230336,914482.88474244,131760800.41844000
2018-04-26 08:30:00,144.64811278,144.64811278,914879.00163238,132335521.01035000
2018-04-26 08:25:00,144.14776964,144.14776964,912671.73738441,131559595.35416999
2018-04-26 08:20:00,144.84626639,144.84626639,909146.18853572,131686431.01165000
2018-04-26 08:15:00,145.64130791,145.64130791,908524.57588944,132318707.50019000
2018-04-26 08:10:00,146.11744571,146.11744571,909442.36403799,132885395.25217000
2018-04-26 08:05:00,146.25943225,146.25943225,909087.38641303,132962604.99860001
2018-04-26 08:00:00,145.73854118,145.73854118,909132.33061878,132495619.60330001
2018-04-26 07:55:00,146.16732121,146.16732121,909756.84816657,132976721.45133001
2018-04-26 07:50:00,145.93428682,145.93428682,913150.89225960,133260024.21856000
2018-04-26 07:45:00,146.08977305,146.08977305,913916.25777501,133513818.68579000
2018-04-26 07:40:00,145.72390130,145.72390130,913425.46431419,133107922.20381001
2018-04-26 07:35:00,145.29880706,145.29880706,911994.06332750,132511649.45157000
2018-04-26 07:30:00,145.04977775,145.04977775,914677.61818379,132673785.23338000
2018-04-26 07:25:00,144.79573066,144.79573066,913711.76898141,132301563.20006000
2018-04-26 07:20:00,145.11964674,145.11964674,914215.36473757,132670610.77840000
2018-04-26 07:15:00,144.84963091,144.84963091,915000.50775866,132537485.82740000
2018-04-26 07:10:00,144.87301546,144.87301546,914711.59287467,132517026.73432000
2018-04-26 07:05:00,145.14062258,145.14062258,913887.14513871,132642149.20946001
2018-04-26 07:00:00,145.08460755,145.08460755,914783.81070840,132721050.17349000
2018-04-26 06:55:00,144.89934323,144.89934323,914326.73695739,132485343.68047000
2018-04-26 06:50:00,144.95890761,144.95890761,913978.31485083,132489298.10358000
2018-04-26 06:45:00,145.03788710,145.03788710,913715.36507099,132523345.95855001
2018-04-26 06:40:00,144.65990247,144.65990247,911151.20692819,131807044.73137000
2018-04-26 06:35:00,145.15370504,145.15370504,908275.52190799,131839557.20597000
2018-04-26 06:30:00,146.12136137,146.12136137,907624.81101171,132623372.99445000
2018-04-26 06:25:00,146.40629448,146.40629448,907642.83573196,132884624.29517999
2018-04-26 06:20:00,146.37445223,146.37445223,908314.43344734,132954027.65050000
2018-04-26 06:15:00,146.71341501,146.71341501,912150.48646837,133824712.87520000
2018-04-26 06:10:00,146.55675046,146.55675046,912803.02957511,133777445.82266000
2018-04-26 06:05:00,146.15202577,146.15202577,912634.98877319,133383452.39735000
2018-04-26 06:00:00,145.96578934,145.96578934,916553.12508917,133785400.37266000
2018-04-26 05:55:00,146.09279569,146.09279569,917706.62212294,134070326.04613000
2018-04-26 05:50:00,146.09984894,146.09984894,919107.98159000,134281537.27373001
2018-04-26 05:45:00,145.97506107,145.97506107,920490.28903858,134368626.15494999
2018-04-26 05:40:00,146.58547105,146.58547105,922333.32603925,135200665.06121001
