timestamp,price (USD),price (USD),volume,market cap (USD)
2018-04-26 06:20:00,0.81339435,0.81339435,208291083.21113575,169422790.22847000
2018-04-26 06:15:00,0.81596004,0.81596004,209489467.73098958,170935033.81106001
2018-04-26 06:10:00,0.81320431,0.81320431,209820679.32311228,170627080.47698000
2018-04-26 06:05:00,0.81285260,0.81285260,209952455.87619567,170660400.55708000
2018-04-26 06:00:00,0.81079795,0.81079795,211347598.78287625,171360200.62926000
2018-04-26 05:55:00,0.80879514,0.80879514,210947573.85537967,170613373.11998999
2018-04-26 05:50:00,0.81006263,0.81006263,210962463.72704136,170892808.98624000
2018-04-26 05:45:00,0.80902922,0.80902922,212511497.03935614,171928011.20223001
2018-04-26 05:40:00,0.81095520,0.81095520,212576566.41304582,172390072.52105999
2018-04-26 05:35:00,0.81075621,0.81075621,212089647.50831109,171952998.61234999
2018-04-26 05:30:00,0.81111556,0.81111556,212752461.02468368,172566831.42392999
2018-04-26 05:25:00,0.81229332,0.81229332,213027131.31527072,173040515.14774999
2018-04-26 05:20:00,0.81458016,0.81458016,212902492.23688191,173426145.90044001
2018-04-26 05:15:00,0.82129773,0.82129773,214200371.13496986,175922277.84735999
2018-04-26 05:10:00,0.82780998,0.82780998,213916775.08955699,177082441.03020000
2018-04-26 05:05:00,0.81884177,0.81884177,213911127.73390901,175159365.39010000
2018-04-26 05:00:00,0.81618873,0.81618873,216480866.62790123,176689243.68748999
2018-04-26 04:55:00,0.81317664,0.81317664,217279022.07294056,176686225.94615999
2018-04-26 04:50:00,0.81396300,0.81396300,218590284.61376441,177924403.42135000
2018-04-26 04:45:00,0.81167483,0.81167483,222304773.53506935,180439188.83735999
2018-04-26 04:40:00,0.80894727,0.80894727,223175606.19591093,180537298.35350001
2018-04-26 04:35:00,0.80327474,0.80327474,224917050.23461273,180670185.32587001
2018-04-26 04:30:00,0.80363273,0.80363273,229324538.46626547,184292704.55640000
2018-04-26 04:25:00,0.80214099,0.80214099,229311918.82539341,183940489.10916999
2018-04-26 04:20:00,0.80158274,0.80158274,229210156.71146989,183730905.76188001
2018-04-26 04:15:00,0.80043774,0.80043774,231610162.16968507,185389515.59338999
2018-04-26 04:10:00,0.79975485,0.79975485,232031121.92403719,185568014.25047001
2018-04-26 04:05:00,0.79759589,0.79759589,232489627.15169090,185432770.29337999
2018-04-26 04:00:00,0.79594140,0.79594140,239351056.06259090,190509413.75448999
2018-04-26 03:55:00,0.79151668,0.79151668,240676762.74446517,190499672.98921001
2018-04-26 03:50:00,0.79192150,0.79192150,241470926.58350348,191226019.41942999
2018-04-26 03:45:00,0.79243344,0.79243344,248094593.69924381,196598452.27629000
2018-04-26 03:40:00,0.78935335,0.78935335,247965472.38591969,195732375.38843000
2018-04-26 03:35:00,0.79079075,0.79079075,247735005.20391345,195906550.38975000
2018-04-26 03:30:00,0.79670769,0.79670769,250493999.04355690,199570495.02480000
2018-04-26 03:25:00,0.80160819,0.80160819,250307362.29481673,200648430.72742999
2018-04-26 03:20:00,0.80238865,0.80238865,250350066.83895373,200878051.73367000
2018-04-26 03:15:00,0.80011322,0.80011322,252138139.56208980,201739057.73574001
2018-04-26 03:10:00,0.79561939,0.79561939,251861935.00363126,200386239.41235000
2018-04-26 03:05:00,0.79506924,0.79506924,251772177.80991367,200176313.23669001
2018-04-26 03:00:00,0.79423824,0.79423824,252252543.46254840,200348616.08834001
2018-04-26 02:55:00,0.79862939,0.79862939,252064489.87601033,201306109.20401001
2018-04-26 02:50:00,0.79712797,0.79712797,251885081.91188866,200784644.29440001
2018-04-26 02:45:00,0.79885149,0.79885149,252619918.25164616,201805797.74869999
2018-04-26 02:40:00,0.79505155,0.79505155,252485418.94660622,200738923.98896000
2018-04-26 02:35:00,0.79053973,0.79053973,252034993.20248920,199243676.50242001
2018-04-26 02:30:00,0.79178641,0.79178641,252574575.16888630,199985115.45860001
2018-04-26 02:25:00,0.79288143,0.79288143,252505352.53314394,200206804.95763001
2018-04-26 02:20:00,0.78966861,0.78966861,252499868.34272057,199391220.54346001
2018-04-26 02:15:00,0.78884848,0.78884848,253129985.69350529,199681205.11302999
2018-04-26 02:10:00,0.78647827,0.78647827,253195067.05007213,199132417.56659999
2018-04-26 02:05:00,0.78512747,0.78512747,252935079.20629990,198586277.80480999
2018-04-26 02:00:00,0.77921674,0.77921674,253235800.98540741,197325574.83274999
2018-04-26 01:55:00,0.77989327,0.77989327,253069430.73740655,197367146.67671001
2018-04-26 01:50:00,0.78244889,0.78244889,252961774.68378139,197929660.90358999
2018-04-26 01:45:00,0.79113005,0.79113005,252821348.76488799,200014565.99233001
2018-04-26 01:40:00,0.79047214,0.79047214,252747448.05628502,199789815.84242001
2018-04-26 01:35:00,0.79034930,0.79034930,252129995.58786845,199270764.59424001
2018-04-26 01:30:00,0.79246095,0.79246095,252293416.93912226,199932679.69161999
