timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-04-11,651.79190476,664.64724585,651.63099858,664.64724585,651.79190476,664.64724585,651.63099858,664.64724585,39547.16038981,26284911.23417018
2018-04-10,638.61439623,654.41108120,631.17911530,651.70784605,638.61439623,654.41108120,631.17911530,651.70784605,32027.23410896,20872399.75617036
2018-04-09,654.03402604,675.97895277,631.15614233,638.89699206,654.03402604,675.97895277,631.15614233,638.89699206,40790.87569456,26061167.78461226
2018-04-08,643.47524590,657.42844168,643.47524590,652.90241413,643.47524590,657.42844168,643.47524590,652.90241413,26566.10473000,17345073.91211914
2018-04-07,615.78097399,651.48909696,615.78097399,642.98384389,615.78097399,651.48909696,615.78097399,642.98384389,42206.61412575,27138170.98809058
2018-04-06,641.39026554,645.18670589,610.66307343,615.61202239,641.39026554,645.18670589,610.66307343,615.61202239,49413.45665910,30419517.98735298
2018-04-05,650.59705437,653.77626987,623.07689209,642.61403811,650.59705437,653.77626987,623.07689209,642.61403811,46978.97874567,30189351.23809302
2018-04-04,707.96581829,708.77961069,640.85812485,650.39344495,707.96581829,708.77961069,640.85812485,650.39344495,61823.67543387,40209713.24479375
2018-04-03,664.62584462,715.97858236,662.67834384,708.87622781,664.62584462,715.97858236,662.67834384,708.87622781,51012.50666911,36161553.29881355
2018-04-02,642.41945536,683.24455614,639.36312929,664.85195321,642.41945536,683.24455614,639.36312929,664.85195321,47666.28949395,31691025.67251845
2018-04-01,689.19030762,700.26483053,630.37825327,639.75948329,689.19030762,700.26483053,630.37825327,639.75948329,70545.41967461,45132101.23922720
2018-03-31,696.07130144,735.03220114,687.00177950,688.51826409,696.07130144,735.03220114,687.00177950,688.51826409,54317.39294248,37398517.09855776
2018-03-30,719.07656286,766.36346942,676.23944819,697.08507962,719.07656286,766.36346942,676.23944819,697.08507962,95824.46872043,66797807.40747955
2018-03-29,864.09406894,870.18465679,706.43127022,722.15994301,864.09406894,870.18465679,706.43127022,722.15994301,108987.83138963,78706646.10457718
2018-03-28,883.11006756,894.95807178,856.04557683,862.70860589,883.11006756,894.95807178,856.04557683,862.70860589,39747.48802326,34290499.98022887
2018-03-27,911.41187416,922.33715867,881.55617128,884.46317096,911.41187416,922.33715867,881.55617128,884.46317096,35830.00317354,31690318.22224638
2018-03-26,974.55773329,977.00842407,888.85990979,914.95495308,974.55773329,977.00842407,888.85990979,914.95495308,39747.61744374,36367279.45328675
2018-03-25,984.59406038,992.70022868,971.31100269,974.33386297,984.59406038,992.70022868,971.31100269,974.33386297,27335.89023870,26634283.53392678
2018-03-24,1024.61601870,1029.32069320,990.35267269,990.35267269,1024.61601870,1029.32069320,990.35267269,990.35267269,30849.38904535,30551774.89204294
2018-03-23,1012.16901647,1022.39443635,969.83965794,1022.39443635,1012.16901647,1022.39443635,969.83965794,1022.39443635,37021.72429669,37850804.94483594
2018-03-22,1032.24524440,1062.12852432,997.55777414,1010.11969248,1032.24524440,1062.12852432,997.55777414,1010.11969248,47271.49770386,47749870.72365509
2018-03-21,1058.19893948,1075.69638531,1012.54562523,1033.52693247,1058.19893948,1075.69638531,1012.54562523,1033.52693247,43864.69549514,45335344.17862824
2018-03-20,989.67041205,1066.33712102,956.37372921,1049.79688084,989.67041205,1066.33712102,956.37372921,1049.79688084,68822.43265774,72249575.13591649
2018-03-19,932.96495906,991.53102522,914.40120826,988.50952005,932.96495906,991.53102522,914.40120826,988.50952005,63118.66151645,62393397.80154788
2018-03-18,951.08335363,951.08335363,860.75679362,933.64565527,951.08335363,951.08335363,860.75679362,933.64565527,66832.79726526,62398150.79629708
2018-03-17,976.45861009,1025.97460417,937.33505327,952.82339426,976.45861009,1025.97460417,937.33505327,952.82339426,52247.06335338,49782224.24425527
2018-03-16,942.56792992,1052.43095726,906.87624191,980.29051850,942.56792992,1052.43095726,906.87624191,980.29051850,75449.43078043,73962361.62048776
2018-03-15,951.55601156,955.19164891,888.12180763,943.64121062,951.55601156,955.19164891,888.12180763,943.64121062,57385.32279123,54151155.47040335
2018-03-14,1055.05128398,1070.74567938,931.66592109,952.07105955,1055.05128398,1070.74567938,931.66592109,952.07105955,64910.62622540,61799528.68676873
2018-03-13,1052.90887836,1094.67739622,1005.20264779,1054.91033380,1052.90887836,1094.67739622,1005.20264779,1054.91033380,77338.10219409,81584763.20097974
2018-03-12,1133.25235108,1141.23558065,1024.44024018,1056.77777983,1133.25235108,1141.23558065,1024.44024018,1056.77777983,57482.83785650,60746585.76856755
2018-03-11,1012.07699597,1147.15486936,986.31885988,1135.00402925,1012.07699597,1147.15486936,986.31885988,1135.00402925,63670.14630124,72265872.59489371
2018-03-10,1057.51024754,1080.93199232,1000.92265734,1011.78083980,1057.51024754,1080.93199232,1000.92265734,1011.78083980,43482.26741121,43994525.03755508
2018-03-09,1039.99027881,1062.96517198,948.16477641,1057.41087823,1039.99027881,1062.96517198,948.16477641,1057.41087823,81081.42693919,85736382.86801799
2018-03-08,1095.63390536,1111.27258295,1020.85670011,1046.02791612,1095.63390536,1111.27258295,1020.85670011,1046.02791612,61248.69678538,64067846.66322230
2018-03-07,1198.86448394,1209.21085497,1065.79027561,1091.91912459,1198.86448394,1209.21085497,1065.79027561,1091.91912459,59561.09981141,65035903.96550962
2018-03-06,1268.14770678,1268.14770678,1178.31215729,1198.03872547,1268.14770678,1268.14770678,1178.31215729,1198.03872547,37210.90488759,44580105.06515826
2018-03-05,1278.27969423,1281.22210787,1269.38602231,1271.59064159,1278.27969423,1281.22210787,1269.38602231,1271.59064159,26467.71853422,33656103.19223474
2018-03-04,1265.12329451,1280.42323899,1236.23228679,1280.42323899,1265.12329451,1280.42323899,1236.23228679,1280.42323899,28151.92550487,36046379.63862144
2018-03-03,1275.05066550,1289.21221999,1257.88969294,1265.33008959,1275.05066550,1289.21221999,1257.88969294,1265.33008959,32216.35327831,40764321.17988471
2018-03-02,1282.35313557,1293.82443250,1257.36805394,1275.99211585,1282.35313557,1293.82443250,1257.36805394,1275.99211585,33931.91758476,43296859.31370062
2018-03-01,1205.17696642,1295.66486718,1195.51967197,1285.69657274,1205.17696642,1295.66486718,1195.51967197,1285.69657274,46673.07502197,60007412.59487908
2018-02-28,1240.58679251,1267.02471322,1204.15970010,1205.05815900,1240.58679251,1267.02471322,1204.15970010,1205.05815900,43060.15183668,51889987.29876990
2018-02-27,1238.75439517,1290.40291902,1219.10420095,1246.51727305,1238.75439517,1290.40291902,1219.10420095,1246.51727305,42601.21797568,53103154.05986463
2018-02-26,1177.09298684,1251.61202953,1147.87692632,1238.11785106,1177.09298684,1251.61202953,1147.87692632,1238.11785106,47321.95469676,58590156.85692336
2018-02-25,1185.96042415,1204.82970452,1144.96357970,1176.13573726,1185.96042415,1204.82970452,1144.96357970,1176.13573726,33624.00496665,39546393.87116080
2018-02-24,1252.75857428,1290.42674080,1148.68513518,1185.74068363,1252.75857428,1290.42674080,1148.68513518,1185.74068363,46533.48424560,55176645.42122936
2018-02-23,1210.42312540,1301.29704307,1158.82051066,1259.21374376,1210.42312540,1301.29704307,1158.82051066,1259.21374376,60730.12370524,76472206.42958808
2018-02-22,1288.81126195,1337.33069544,1190.72213907,1209.58582487,1288.81126195,1337.33069544,1190.72213907,1209.58582487,60511.81187923,73194229.88615891
2018-02-21,1402.84496906,1413.00346111,1276.78870338,1289.62667263,1402.84496906,1413.00346111,1276.78870338,1289.62667263,77299.12729361,99687016.32922120
2018-02-20,1524.36122813,1549.14290560,1394.08981562,1402.49653985,1524.36122813,1549.14290560,1394.08981562,1402.49653985,62835.11575076,88126032.42167085
2018-02-19,1457.03182177,1537.85799673,1457.03182177,1526.12101760,1457.03182177,1537.85799673,1457.03182177,1526.12101760,43853.95554491,66926443.26179655
2018-02-18,1542.28205693,1621.65339473,1407.02145287,1463.99233388,1542.28205693,1621.65339473,1407.02145287,1463.99233388,78225.07911169,114520916.13659224
2018-02-17,1528.97072900,1548.74147536,1509.84281704,1542.27122029,1528.97072900,1548.74147536,1509.84281704,1542.27122029,48978.34081197,75537885.45200038
2018-02-16,1359.71339893,1535.87505345,1357.53412572,1533.10820670,1359.71339893,1535.87505345,1357.53412572,1533.10820670,96871.07691129,148513843.00417230
2018-02-15,1353.89593668,1387.79065412,1317.63073159,1364.47093566,1353.89593668,1387.79065412,1317.63073159,1364.47093566,66785.43215420,91126781.09969684
2018-02-14,1228.34338066,1367.33763195,1228.34338066,1356.37021437,1228.34338066,1367.33763195,1228.34338066,1356.37021437,66640.17343981,90388746.33444054
2018-02-13,1282.81503655,1283.91559467,1212.95598331,1229.49148139,1282.81503655,1283.91559467,1212.95598331,1229.49148139,42983.14597472,52847411.81917514
2018-02-12,1221.63329174,1291.32786310,1221.63329174,1281.71046802,1221.63329174,1291.32786310,1221.63329174,1281.71046802,40894.16051409,52414473.61185829
2018-02-11,1242.68415965,1290.92617998,1198.22176583,1219.44564611,1242.68415965,1290.92617998,1198.22176583,1219.44564611,58955.59121867,71893139.02539626
2018-02-10,1299.23848394,1373.22390342,1205.71816461,1242.13636109,1299.23848394,1373.22390342,1205.71816461,1242.13636109,75398.68976460,93655454.13525321
2018-02-09,1275.21267143,1336.34351477,1189.79484471,1300.99404315,1275.21267143,1336.34351477,1189.79484471,1300.99404315,88564.91220259,115222423.20790364
2018-02-08,956.66268371,1333.68986657,951.93024136,1271.62205102,956.66268371,1333.68986657,951.93024136,1271.62205102,163928.98129776,208455707.41872203
2018-02-07,963.44640456,1030.97720364,896.47509609,955.22103218,963.44640456,1030.97720364,896.47509609,955.22103218,81382.82040993,77738581.71375458
2018-02-06,888.45384790,970.83997840,764.67773413,966.88788022,888.45384790,970.83997840,764.67773413,966.88788022,159972.90289914,154675860.97668481
2018-02-05,1160.74587422,1172.24214890,842.28160168,890.56878586,1160.74587422,1172.24214890,842.28160168,890.56878586,109856.10034553,97834413.90451710
2018-02-04,1272.27873051,1284.13049085,1107.98887552,1162.86297346,1272.27873051,1284.13049085,1107.98887552,1162.86297346,58973.87239203,68578532.60618070
2018-02-03,1192.88733488,1310.17352780,1074.84333549,1269.55492420,1192.88733488,1310.17352780,1074.84333549,1269.55492420,55447.43130368,70393559.44592424
2018-02-02,1268.13780325,1268.13780325,980.65413801,1194.34993253,1268.13780325,1268.13780325,980.65413801,1194.34993253,119554.29576668,142789665.08319813
2018-02-01,1494.36305178,1504.31382868,1209.56436297,1274.12936759,1494.36305178,1504.31382868,1209.56436297,1274.12936759,79735.05081696,101592769.87224896
2018-01-31,1477.47478093,1520.68451498,1424.46568245,1486.68273921,1477.47478093,1520.68451498,1424.46568245,1486.68273921,50219.01236491,74659738.86330175
2018-01-30,1663.47863162,1663.60722128,1470.83074529,1470.83074529,1663.47863162,1663.60722128,1470.83074529,1470.83074529,56963.45495262,83783600.90232116
2018-01-29,1742.44566112,1752.76431627,1648.16482586,1664.01172785,1742.44566112,1752.76431627,1648.16482586,1664.01172785,30067.66080810,50032940.21370694
