timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-03-24,1.00003819,1.00199716,0.99999138,1.00007024,1.00003819,1.00199716,0.99999138,1.00007024,23497878.86263962,23499529.32340642
2018-03-23,1.00000468,1.00158382,0.99999835,1.00002485,1.00000468,1.00158382,0.99999835,1.00002485,64842564.67588976,64844176.25944852
2018-03-22,1.00002422,1.00211243,1.00000316,1.00000469,1.00002422,1.00211243,1.00000316,1.00000469,356318386.26793706,356320058.89458680
2018-03-21,1.00006402,1.00007380,0.99999522,1.00002492,1.00006402,1.00007380,0.99999522,1.00002492,71257230.88086388,71259006.29693136
2018-03-20,1.00004092,1.00007091,0.99999339,1.00006953,1.00004092,1.00007091,0.99999339,1.00006953,91586354.03770407,91592722.29311126
2018-03-19,0.99987373,1.00018137,0.99950369,1.00004061,0.99987373,1.00018137,0.99950369,1.00004061,90578625.81607267,90582304.18342040
2018-03-18,1.00014435,1.00019709,0.99677988,1.00003927,1.00014435,1.00019709,0.99677988,1.00003927,46938799.71796131,46940643.03680921
2018-03-17,1.00003056,1.00014452,0.99983111,1.00014358,1.00003056,1.00014452,0.99983111,1.00014358,25813765.20352277,25817471.51919081
2018-03-16,1.00008435,1.00220314,0.99986637,1.00003096,1.00008435,1.00220314,0.99986637,1.00003096,69339627.17869538,69341774.07728440
2018-03-15,1.00012638,1.00089547,0.99958391,1.00008487,1.00012638,1.00089547,0.99958391,1.00008487,72829626.69558209,72835807.70324421
2018-03-14,1.00005044,1.00305450,0.99999927,1.00012047,1.00005044,1.00305450,0.99999927,1.00012047,57135559.82454935,57142443.04358222
2018-03-13,1.00011987,1.00018306,1.00001162,1.00004811,1.00011987,1.00018306,1.00001162,1.00004811,72305467.84251882,72308946.53066078
2018-03-12,1.00018178,1.00478014,1.00009290,1.00010751,1.00018178,1.00478014,1.00009290,1.00010751,42038081.93107392,42042601.35608550
2018-03-11,1.00020638,1.00041812,1.00011173,1.00015846,1.00020638,1.00041812,1.00011173,1.00015846,50195079.68415284,50203033.67412851
2018-03-10,1.00011608,1.00388565,1.00006431,1.00014579,1.00011608,1.00388565,1.00006431,1.00014579,22624409.92575675,22627708.36816641
